Drug,Use,category,first trimester ,second trimester,third trimester,breast feeding  (caution concerning the infant to be made),Interaction
Psyllium,Laxatives,B,use with caution,use with caution,use with caution,use with caution,"contraindication: 
Hypersensitivity to psyllium or any component of the formulation; fecal impaction; GI obstruction
use with caution:
Heart disease: To help lower the risk of coronary heart disease, psyllium should be taken together with a diet that is low in saturated fat and cholesterol.
Stomach or intestinal problems: Caution is advised in patients with esophageal narrowing, ulcers, intestinal narrowing or adhesions, or difficulty swallowing.
contact your physician if any of these happened: 
Stomach and intestines: Formation of a mass in the stomach (bezoar), blockage of the esophagus, or blockage of the intestines.
Allergic reactions: Reactions such as rash, swelling, trouble breathing, or severe allergic response (anaphylaxis)."
Lactulose,Laxatives,B,use with caution,use with caution,use with caution,use with caution,"contraindications: 
if the patient requires a low galactose diet whcih means avoiding or strictly limiting milk (cow, goat, sheep), cheese, yogurt, butter, cream, ice cream, and foods made with milk powder or whey (such as some baked goods, chocolates, and processed foods).
use with caution:
Diabetes: Use with caution in patients with diabetes mellitus; solution contains galactose and lactose.
contact your physican if any of these happened:
Stomach and digestion: Abdominal cramps, abdominal swelling, abdominal discomfort, abdominal pain, loss of appetite, bloating, diarrhea, belching, gas, nausea, or vomiting.
Lactulose allergy may occur: rash, itching, swelling of the face/lips/tongue, dizziness, or trouble breathing."
Senna,Laxatives,B,use with caution,use with caution,use with caution,use with caution,"contraindications:
 Not recommended for use in patients experiencing stomach pain, nausea, vomiting, or a sudden change in bowel movements which lasts >2 weeks,intestinal obstructions
use with caution:
avoid chronic use without consultation of the physician as it may cause pathologic changes including structural damage to the myenteric plexus, severe and permanent interference with colonic motility, and hypertrophy of the muscularis mucosae
contact your physician if any of these happened:
Abdominal discomfort, nausea, mild cramps, griping, faintness"
Calcium Carbonate,"Hyperacidity, reflux, ulcers",A,safe but used with caution,safe but used with caution,safe but used with caution,safe but used with caution,"contraindications:
Hypersensitivity to any component of the formulation
use with caution:
Low stomach acid (achlorhydria): Calcium may not be absorbed well. This problem is more common in older adults. Calcium citrate may be preferred, and it should be taken with food.
Chronic kidney disease: When treatment is needed to lower phosphate levels, non-calcium medicines (such as sevelamer or lanthanum) may be safer than calcium-based products. If calcium products are used, the dose may need to be limited.
Hypoparathyroidism: High calcium levels in the blood or urine may occur, especially when high doses of vitamin D are taken.
Kidney stones: Extra care is needed if there is a history of calcium-containing kidney stones.
contact your physician if any of these happened:
High calcium in the blood (hypercalcemia) – may cause nausea, vomiting, confusion, or irregular heartbeat
Low phosphate in the blood (hypophosphatemia) – may cause weakness, bone pain, or confusion
Milk-alkali syndrome (usually with very high doses or kidney problems) – may cause headache, nausea, irritability, weakness, kidney problems, or changes in body acid balance"
Sucralfate,"Hyperacidity, reflux, ulcers",B1,use with caution,use with caution,use with caution,use with caution,"contraindications:
Hypersensitivity to sucralfate or any component of the formulation
use with caution:
Diabetes: High blood sugar has been reported with sucralfate suspension in patients with diabetes. Blood sugar levels should be checked regularly, and diabetes medicines may need to be adjusted.
Duodenal ulcer: Sucralfate works locally on the ulcer. It helps with healing, but it does not prevent future ulcers from coming back or becoming severe again.
Kidney problems: In patients with serious kidney disease or those on dialysis, the body may not clear aluminum well. Since sucralfate contains aluminum, buildup may occur and could cause bone or brain problems.
contact your physician if any of these happened:
Severe allergic reactions, including difficulty breathing or swelling (anaphylaxis)
Formation of a bezoar (a mass that can block the stomach or intestines)
Signs of high blood sugar (hyperglycemia), like increased thirst, frequent urination, or confusion
Breathing problems due to pulmonary aspiration (inhaling the medication or stomach contents into the lungs)"
Salbutamol,Respiratory,A,use with caution,use with caution,use with caution,use with caution,"contraindications: 
An allergy to albuterol or any ingredient in the medicine is present.
A severe allergy to milk proteins is present (applies to dry powder inhalers).
Injection (Ventolin): Should not be used if an allergy to albuterol or any ingredient exists, if fast or abnormal heart rhythms (tachyarrhythmias) are present, or if being considered for preventing labor in patients at risk of premature birth or threatened miscarriage.
Inhalation: Should not be used if an allergy to albuterol or any ingredient exists, or if being considered for preventing labor in patients at risk of premature birth or threatened miscarriage.
use with caution: 
Heart conditions: Extra care is needed if heart problems are present (such as irregular heartbeat, high blood pressure, heart failure, or poor blood flow to the heart). This medicine may strain the heart.
Diabetes: Blood sugar levels may rise, and existing diabetes or risk of ketoacidosis may worsen.
Glaucoma: Eye pressure may increase, which can make glaucoma worse.
Overactive thyroid (hyperthyroidism): Symptoms may be aggravated.
Low potassium (hypokalemia): Potassium levels in the blood may decrease.
Kidney problems: Extra caution is needed if kidneys are not working well.
Seizures: Risk of seizures may increase since this medicine can stimulate the nervous system.
contact your physician if any of these happened:
Unusual or very fast heartbeat or irregular heart rhythms
Chest pain or symptoms suggesting heart problems
Severe allergic reactions, such as difficulty breathing, swelling of the face, lips, or throat (anaphylaxis, angioedema)
Sudden worsening breathing difficulty or wheezing (paradoxical bronchospasm)
Signs of low potassium levels like muscle cramps or weakness (hypokalemia)
Severe skin reactions, including blistering or peeling (Stevens-Johnson syndrome)
Mental health changes including hallucinations or psychosis
Symptoms of metabolic problems such as ketoacidosis, lactic acidosis, or worsening diabetes (e.g., extreme thirst, frequent urination, confusion)
Severe dizziness or fainting, which may indicate low blood pressure
Sudden swelling or pain in the throat or mouth (angioedema)"
Budesonide,,A,use with caution,use with caution,use with caution,use with caution,"contraindications:
An allergy to budesonide or any ingredient in the medicine is present.
A severe allergy to milk proteins is present (for Pulmicort Flexhaler).
It is being considered as the first treatment for a severe asthma attack or another acute asthma episode that needs urgent care.
If moderate to severe bronchiectasis is present.
If pulmonary tuberculosis (TB) is active or latent and not properly treated.
If there is an untreated lung infection (bacterial, fungal, or viral).
use with caution:
this medicine should not be used for sudden severe asthma attacks; extra steroids by mouth or injection may be needed during severe attacks or times of stress.
Long-term use may lower bone strength, especially if there are risk factors such as prolonged bed rest, family history of osteoporosis, menopause, smoking, older age, poor diet, or long-term use of certain medicines that weaken bones.
In people with liver problems, the medicine may build up in the body and increase the risk of side effects.
Prolonged use may cause blurred vision, high eye pressure, glaucoma, or cataracts; regular eye check-ups are recommended for people using it long-term.
contact your physician if any of these happened:
Signs of adrenal gland problems, such as extreme tiredness or weakness (adrenocortical insufficiency)
Bone problems like pain or difficulty walking due to bone death (avascular necrosis of the hip)
Unusual bruising or bleeding easily
Changes in vision or eye pain due to cataracts, glaucoma, or increased pressure in the eyes
Slow growth in children
Symptoms of high steroid levels like swelling, weight gain, or unusual behavior (hypercorticoidism)
Severe mood changes including anxiety, depression, psychosis, or aggressive behavior
Throat irritation, wheezing, or worsening breathing difficulties
Persistent or worsening infections including bronchitis or respiratory infections
Skin irritation on the face or severe allergic reactions"
Montelukast,,B1,use with caution,use with caution,use with caution,use with caution,"contraindications:
Hypersensitivity to montelukast or any component of the formulation
use with caution:
Montelukast should not be used to quickly relieve sudden asthma attacks or severe asthma episodes (status asthmaticus).
Rescue inhalers or other fast-acting medicines should always be available for sudden attacks.
Montelukast treatment should be continued during asthma flare-ups but should not replace rescue medication.
contact your physician if any of these happened:
New or worsening mood or behavior changes, such as anxiety, depression, confusion, or aggression
Unusual thoughts or feelings, including suicidal thoughts or tendencies
Hallucinations or severe agitation
Seizures or stuttering
Severe allergic reactions, including swelling of the face, lips, or throat (anaphylaxis, angioedema)
Signs of blood or immune system problems, such as unusual bruising, bleeding, or eosinophilia (a type of white blood cell increase)
Sudden breathing problems caused by lung inflammation (eosinophilic pneumonitis)
Severe skin reactions, including Stevens-Johnson syndrome or toxic epidermal necrolysis
Symptoms of liver problems, such as jaundice, nausea, or abdominal pain
Pancreatitis (severe abdominal pain with vomiting)"
Salmeterol,,B3,use with caution,use with caution,use with caution,use with caution,"contraindications:
This medicine should not be used if there is an allergy to salmeterol or any of its ingredients.
It should not be used if there is a severe allergy to milk proteins.
It should not be used alone for asthma; it must always be combined with an inhaled corticosteroid.
It should not be used to treat sudden severe asthma attacks (status asthmaticus) or sudden worsening of COPD.
use with caution:
Extra care should be taken if heart problems are present (such as irregular heartbeat, high blood pressure, or poor blood flow to the heart), since this medicine may raise blood pressure, increase heart rate, or cause changes on heart tests (ECG).
Caution is advised in people with diabetes, as blood sugar may rise and worsen ketoacidosis; this effect is usually temporary.
Frequent use of this medicine for exercise-related breathing problems is not advised, as it may hide poorly controlled asthma.
In people with liver problems, the medicine may build up in the body and increase the risk of side effects.
In people with an overactive thyroid (hyperthyroidism), the medicine may make symptoms worse.
In people with low potassium levels (hypokalemia), this medicine may lower potassium further, though usually only for a short time.
In people with seizure disorders, there is a risk of increased nervous system stimulation, which may trigger seizures.
contact your physician if any of these happened:
Severe allergic reactions including swelling, difficulty breathing, or rash (anaphylaxis, angioedema)
Irregular or very fast heartbeat, including atrial fibrillation, supraventricular tachycardia, or ventricular tachycardia
Chest pain or tightness, or sensation of choking
Severe breathing difficulties including paradoxical bronchospasm or laryngospasm
Symptoms of high steroid levels such as unusual weight gain, Cushing's syndrome signs, or decreased growth in children
Severe mood or behavior changes like agitation, depression, or aggressive behavior
Low potassium levels causing muscle weakness or irregular heartbeat (hypokalemia)
Prolonged or irregular heart rhythm seen on ECG (prolonged QT interval)
Eye problems such as glaucoma, cataracts, or increased eye pressure
Bone thinning or fractures (osteoporosis), muscle inflammation (myositis), or severe muscle spasms
Severe throat or oropharyngeal irritation causing difficulty swallowing or speaking
Signs of systemic inflammation involving blood vessels (eosinophilic granulomatosis with polyangiitis)"
Fluticasone,,B3,use with caution,use with caution,use with caution,use with caution,"containdications:
this medicine should not be used if you are allergic to fluticasone or any of its ingredients.
It should also be avoided if you have a severe allergy to milk proteins or lactose (this applies to certain inhalers such as ArmonAir Digihaler, Arnuity Ellipta, and Flovent Diskus).
It is not meant for sudden or severe asthma attacks that require urgent treatment.
it is also not recommended for people who have untreated infections in the lungs or airways, such as fungal infections, bacterial infections, or tuberculosis (TB).
use with caution:
During times of stress or during severe asthma attacks, extra steroid medicines (by mouth or injection) may be needed. This inhaler should not be used alone for sudden or life-threatening asthma attacks.
Long-term use of inhaled steroids may weaken the bones. The risk is higher if you are older, postmenopausal, have poor nutrition, spend long periods without moving, smoke, have a family history of weak bones (osteoporosis), or take other medicines that can reduce bone strength (such as seizure medicines or long-term steroid tablets).
If you have liver problems, this medicine may build up in your body and should be used with care.
Long-term use may affect the eyes, possibly causing glaucoma (high pressure in the eye) or cataracts (clouding of the lens). Regular eye checkups are recommended.
In people with COPD (chronic lung disease), long-term use of inhaled steroids, especially fluticasone, has been linked to a higher chance of developing pneumonia. The risk may decrease if the inhaled steroid is stopped.
contact your physician if any of these happened: 
Severe allergic reactions such as swelling of the face or throat, difficulty breathing, or rash (anaphylaxis, angioedema)
Persistent or severe breathing problems, including wheezing, bronchospasm, or worsening asthma symptoms
Signs of high blood sugar (hyperglycemia) such as increased thirst or frequent urination
Eye problems including blurred vision, cataracts, glaucoma, or increased pressure in the eyes
Signs of bone problems like osteoporosis or slowed growth in children
Severe mood or behavior changes such as anxiety, depression, agitation, or aggressive behavior
Severe infections, including oral or esophageal candidiasis (white patches in the mouth or throat, pain when swallowing)
Chest tightness or chest symptoms needing urgent evaluation"
Guaifenesin,Cough relief,A,safe but used with caution,safe but used with caution,safe but used with caution,use with caution,"contraindications:
Known hypersensitivity to guaifenesin
use with caution:
talk to your doctor before using this medicine. if you have  cough that keeps coming back (for example, from smoking, asthma, chronic bronchitis, or emphysema), or if your cough produces a lot of phlegm (mucus), talk to your doctor before using this medicine. 
contact your physician if any of these happened:
if your symptoms don’t get better within 7 days, or if you develop fever, rash, or a lasting headache."
Azathioprine,Immunomodifiers,D,use with caution,use with caution,contraindicated,contraindicated,"contraindications:
Do not use azathioprine if you are allergic to it or any of its ingredients.
It should not be used during pregnancy in patients with rheumatoid arthritis.
If you have rheumatoid arthritis and were previously treated with certain chemotherapy medicines (such as cyclophosphamide, chlorambucil, or melphalan), azathioprine may greatly increase your risk of developing cancer and should be avoided.
Azathioprine can interact with many other medicines. Some of these interactions may require your doctor to change the dose, adjust how often you take it, or avoid combining them altogether. Always inform your doctor or pharmacist about all the medications and supplements you are taking.
use with caution:
Hepatic impairment: Use with caution in patients with hepatic impairment.
Renal impairment: Use with caution in patients with renal impairment.
contact your physician if any of these happened:
Severe nausea, vomiting, diarrhea, fever, skin rash, muscle pain, or low blood pressure due to an allergic or immune reaction
Signs of low blood counts such as unusual bruising, bleeding, weakness, or infections (leukopenia, thrombocytopenia, anemia, pancytopenia)
Severe or unusual infections including bacterial, viral, fungal, or reactivation of past infections (e.g., JC virus, cytomegalovirus, hepatitis B, tuberculosis)
Symptoms of liver problems such as yellowing of the skin or eyes, nausea, abdominal pain, or dark urine (hepatotoxicity, cholestasis, hepatic sinusoidal obstruction)
Development of cancers including lymphoma, skin cancer, or other malignancies
Sudden or severe abdominal pain with vomiting (pancreatitis)
Unexplained fever or persistent illness
Severe allergic reactions including swelling of the face, throat, or breathing difficulty (hypersensitivity reactions)
Neurological symptoms like progressive weakness or confusion (progressive multifocal leukoencephalopathy)
Lung inflammation causing cough, difficulty breathing, or fever (hypersensitivity pneumonitis, interstitial pneumonitis)"
Cyclosporine,Immunomodifiers,C,use with caution,use with caution,contraindicated,contraindicated,"contraindications:
Do not use cyclosporine if you are allergic to it or any of its ingredients.
The IV form of cyclosporine should not be used if you are allergic to Cremophor EL (an ingredient in the IV solution).
Cyclosporine is not recommended for patients with rheumatoid arthritis or psoriasis if they have: Kidney problems,Uncontrolled high blood pressure, history of cancer
For psoriasis patients: do not use cyclosporine if you are also receiving PUVA or UVB light therapy, methotrexate, other immune-suppressing medicines, coal tar, or radiation therapy.
Cyclosporine interacts with many other medicines. Some combinations require dose changes or should be avoided. Always tell your doctor and pharmacist about all medications and supplements you are taking.
Should not be used with bosentan.
Should not be used in rheumatoid arthritis or psoriasis patients with certain immune system problems (primary or secondary immunodeficiency, excluding autoimmune disease), active or uncontrolled infections, or most cancers (except some non-melanoma skin cancers).
use with caution:
Before bariatric surgery (such as gastric bypass or sleeve gastrectomy), your doctor should carefully check why cyclosporine is being used and what the treatment goals are.
After bariatric surgery, especially if you had gastric bypass or other surgeries that change how the intestines absorb medicines, cyclosporine may not be absorbed the same way. This could mean the dose may need to be adjusted. Your doctor will monitor you closely with checkups and possibly blood tests to make sure the medicine is working properly.
Liver problems: Cyclosporine is broken down by the liver. If you have severe liver disease, the medicine can build up in your body. A lower dose may be needed.
Psoriasis treatment: If you are already receiving other immune-suppressing medicines, light therapy, or radiation, cyclosporine should not be used at the same time.
contact your physician if any of these happened:
New or worsening diabetes or high blood sugar levels
Swelling or overgrowth of the gums causing pain or difficulty chewing
Signs of blood vessel problems including sudden kidney issues, high blood pressure, or unusual bruising (thrombotic microangiopathy)
Liver problems such as yellowing of skin or eyes, nausea, vomiting, or severe fatigue (hepatotoxicity)
High potassium levels which may cause muscle weakness or irregular heartbeat (hyperkalemia)
High blood pressure that is difficult to control
Severe infections including viral, bacterial, fungal, or opportunistic infections that may become life-threatening
Development of certain cancers, especially lymphoma or skin cancer
Kidney damage signs such as reduced urine output, swelling, or fatigue (nephrotoxicity)
Nervous system problems including severe headaches, seizures, confusion, vision changes, or hallucinations (neurotoxicity)
Severe allergic reactions including swelling, rash, or difficulty breathing (hypersensitivity)"
Tacrolimus,Immunomodifiers,C,use with caution,use with caution,contraindicated,use with caution,"contraindications:
Hypersensitivity to tacrolimus, polyoxyl 60 hydrogenated castor oil (HCO-60), or any other component of the formulation.
use with caution:
patients with myasthenia gravis: stopping this medicine (or any immune-suppressing medicine) all of a sudden can make your symptoms worse and may even cause a serious condition called myasthenic crisis. Always check with your doctor before making changes.
Before starting this medicine, vaccines should be up to date.
Live vaccines (such as measles, mumps, rubella, or chickenpox) should not be received during treatment.
Close contact with people who have recently received a live vaccine should be avoided.
Inactivated (non-live) vaccines may be given, but their effect may be weaker.
contact your physician if any of these happened:
Diabetes or high blood sugar may be developed after transplantation
Blood vessel problems causing kidney damage and high blood pressure (drug-induced thrombotic microangiopathy) may occur
High potassium levels which can cause muscle weakness or heart problems may be experienced
Severe allergic reactions including swelling, rash, or difficulty breathing may happen
High blood pressure may be caused or worsened
Severe infections, including viral, bacterial, fungal, and opportunistic infections, may develop
Cancer, including lymphoma and skin cancers, may be increased with use
Kidney damage or failure may be caused or worsened
Nervous system problems such as seizures, confusion, hallucinations, severe headaches, or vision changes may occur
Anemia due to reduced red blood cells (pure red cell aplasia) may develop
Serious liver problems or pancreatitis may be experienced
Severe skin reactions including Stevens-Johnson syndrome or toxic epidermal necrolysis may appear
Lung problems such as shortness of breath or severe infection may be caused"
Mycophenolate,Immunomodifiers,D,contraindicated,contraindicated,contraindicated,contraindicated,"contraindications:
A history of severe allergic reactions, such as anaphylaxis, to mycophenolate mofetil, mycophenolic acid, mycophenolate sodium, or any ingredient in the medication should be reported to a doctor.
Allergies to polysorbate 80 (Tween), especially if the intravenous form of mycophenolate mofetil (CellCept IV, Myhibbin) is being used, need to be communicated to a healthcare provider.
Pregnancy should be disclosed before starting the medication, and women who are able to become pregnant must be using highly effective contraception or confirmed not pregnant by testing; any doubts require medical consultation.
Breastfeeding while taking this medication should be discussed with a doctor to ensure safety.
use with caution:
CNS depression may occur and could impair the ability to perform tasks requiring mental alertness, such as driving or operating machinery; caution should be taken.
Hypersensitivity reactions, including severe allergic responses like anaphylaxis and angioedema, may develop shortly after starting treatment; immediate medical attention should be sought if these occur.
For patients with a history of or planned bariatric surgery, close monitoring is needed due to unpredictable effects on the medication; medical advice should be followed during this period.
Patients with serious active gastrointestinal diseases, such as peptic ulcers.
If renal impairment is present, the risk of toxicity is increased and dosage adjustments may be necessary.
In cases of rare hereditary enzyme deficiencies like hypoxanthine-guanine phosphoribosyltransferase deficiency, caution is advised.
Patients with systemic lupus erythematosus undergoing hip or knee replacement surgery should follow specific medical guidance on whether to continue or temporarily stop mycophenolate therapy.
Different dosage forms of mycophenolate should only be interchanged under medical supervision to avoid absorption issues.
Use of the medication during pregnancy or when planning pregnancy requires strict medical counseling and contraception due to risks of miscarriage and birth defects.
Blood donation should be avoided during treatment and for at least 6 weeks after stopping the medication.
Immunizations with live vaccines should be avoided during treatment; effectiveness of other vaccines may be reduced and should be discussed with a healthcare provider.
IV administration of mycophenolate must be done slowly and never by rapid injection; this should be handled by medical staff.
Breastfeeding while on mycophenolate should be discussed with a doctor to weigh potential risks and benefits.
Abrupt discontinuation, especially in conditions like myasthenia gravis, can cause worsening of symptoms and requires medical supervision.
contact your physician if any of these happened:
Acute inflammatory syndrome characterized by fever, joint and muscle pain, and increased inflammation markers may develop and should be reported to a doctor immediately.
Bone marrow suppression causing anemia, leukopenia, neutropenia (which can increase infection risk), and thrombocytopenia may occur and requires prompt medical evaluation.
Severe gastrointestinal issues such as gastric or duodenal ulcers, gastrointestinal hemorrhage, or perforation may arise and need urgent medical attention.
Infections including bacterial, viral , fungal, or protozoal infections can become severe or life-threatening and should be reported to a healthcare provider promptly.
Development of lymphoproliferative disorders or tumors, including skin cancer, may happen and require medical follow-up.
Pure red cell aplasia, a serious form of anemia causing fatigue and pallor, may develop and needs to be communicated to the doctor.
Severe allergic reactions, including anaphylaxis and angioedema, should be treated as an emergency and reported immediately.
Signs of progressive multifocal leukoencephalopathy (PML), meningitis, or other serious nervous system effects require urgent medical consultation.
Respiratory complications like interstitial lung disease, pulmonary edema, bronchiectasis, pulmonary fibrosis, or tuberculosis need to be evaluated by a healthcare professional.
Serious cardiovascular events such as endocarditis or venous thrombosis should be reported to a doctor right away.
Sudden severe symptoms such as bone marrow failure, agranulocytosis, or severe infections require immediate medical attention.
Any unexplained fever, chills, or worsening weakness should be discussed with a healthcare provider promptly."
Digoxin,,A,use with caution,use with caution,use with caution,use with caution,"contraindications:
If you have ever had a serious allergic reaction to digoxin, similar medicines, or any ingredients in the medication, please let your doctor know.
If you have a heart condition called ventricular fibrillation (an abnormal and dangerous heart rhythm), it is very important to tell your doctor before using digoxin.
use with caution:
If you are receiving digoxin through an IV, make sure the needle is properly placed to avoid medicine leaking into the surrounding tissue. Let your doctor know right away if you feel pain, swelling, or discomfort during the injection.
If you have a heart condition called Wolff-Parkinson-White syndrome or another abnormal heart pathway, digoxin should generally be avoided because it can cause dangerous heart rhythms. 
If you have an irregular heartbeat called atrial fibrillation, your digoxin levels will need to be checked regularly to keep you safe.
It’s important to keep your potassium, magnesium, and calcium levels balanced before and during treatment. If you feel any symptoms or have concerns about your minerals.
Digoxin is usually used only when other heart failure treatments are not enough. If your symptoms change or you want to stop the medicine.
If you have kidney problems, your dose of digoxin may need to be adjusted, and your kidney function should be checked regularly by your doctor.
For certain heart conditions like inflammation of the heart muscle or certain types of heart muscle thickening, digoxin might not be safe unless your doctor prescribes it specifically for controlling your heart rhythm.
If you have a slow heartbeat or heart block, your doctor may need to do extra tests before you start digoxin. Sometimes, a pacemaker is needed to keep your heart beating safely.
If you have thyroid problems, your medication needs may change since your thyroid can affect how digoxin works. Be sure your doctor checks your thyroid function, especially if you develop new symptoms.
Newborns and premature babies are very sensitive to digoxin, so special care and dosing by your doctor are needed.
Some digoxin forms contain an ingredient called propylene glycol, which can be harmful in large amounts, especially for very young babies or people with certain health problems. Your healthcare provider will use caution with these forms.
If you are pregnant or breastfeeding, your doctor will monitor you closely since digoxin passes to your baby through the placenta and breast milk. Dose changes may be needed to keep both you and your baby safe.
Older adults should watch for side effects like loss of appetite, blurry vision, confusion, or feeling depressed. If any of these happen.
contact your physician if any of these happened:
Signs of digoxin toxicity such as nausea, vomiting, yellow or blurred vision (including seeing halos), extreme tiredness, or abnormal heart rhythms should be reported to a doctor immediately.
Any unusual or fast heartbeats, including atrial tachycardia, various types of heart block, or irregular ventricular rhythms, need urgent medical attention.
In infants and children, slow heart rate or unusual heart rhythms may signal digoxin overdose and should be communicated to a healthcare provider right away.
Severe stomach pain, bloody diarrhea, or signs of intestinal damage require prompt medical evaluation.
Confusion, dizziness, hallucinations, severe headache, or changes in mental status should be reported to a doctor as they may indicate serious side effects.
Skin reactions such as widespread rash, blistering, or redness need to be checked by a healthcare professional promptly.
Symptoms of low platelet count, like easy bruising or unusual bleeding, should be discussed with a doctor.
Any sudden or severe breathing difficulties, chest pain, or fainting episodes should be treated as a medical emergency."
Clopidogrel,,B1,use with caution,use with caution,use with caution,use with caution,"contraindications:
A history of severe allergic reaction, such as anaphylaxis, to clopidogrel or any ingredient in the medication.
Active serious bleeding, like bleeding from a stomach ulcer or bleeding inside the brain.
Significant liver problems or jaundice caused by bile flow issues .
Use of certain medicines like repaglinide together with clopidogrel should be avoided or carefully managed
use with caution:
Caution should be taken when clopidogrel is used in people with kidney problems, and kidney function should be monitored by a doctor.
Patients who have sudden bleeding in the lower digestive tract while on clopidogrel should have their treatment carefully reviewed by healthcare professionals to balance bleeding risks and clot prevention.
Before heart surgery, such as bypass surgery, clopidogrel should be stopped at least 1 to 5 days prior as advised by the heart specialist and surgical team.
For patients with recent stent placement who need non-heart surgery, doctors should carefully plan when to stop and restart clopidogrel, considering the risk of bleeding and clotting.
Stopping clopidogrel too early after stent placement can increase the risk of heart attack, clot formation in the stent, stroke, or death; any interruption should be as short as possible and managed by a doctor.
Clopidogrel use during pregnancy should only be done if clearly needed and under medical supervision; it should be stopped 5 to 7 days before labor or certain procedures to reduce bleeding risks.
If breastfeeding while taking clopidogrel, the decision should be made with a healthcare provider, weighing possible risks to the baby and benefits to the mother.
contact your physician if any of these happened:
Signs of serious bleeding, such as unusual bruising, bleeding that won’t stop, or sudden weakness or dizziness, should be reported to a doctor immediately.
Severe allergic reactions like swelling of the face or mouth (angioedema), hives, or difficult breathing require urgent medical attention.
Symptoms of thrombotic thrombocytopenic purpura (TTP) such as unusual skin bruising, neurological problems (seizures, confusion, or severe headaches), fever, or signs of kidney problems should be communicated to a healthcare provider right away.
Unexplained rash, blistering, or severe skin reactions including Stevens-Johnson syndrome or toxic epidermal necrolysis must be reported to a doctor promptly.
Signs of infection or immune system problems like fever, unexplained fatigue, or easy bruising should be discussed with a healthcare professional.
Severe stomach pain or symptoms of ulcers or inflammation in the digestive system, including bloody diarrhea, should be evaluated by a doctor.
Sudden confusion, hallucinations, or severe headaches need to be reported as these may indicate serious side effects.
Breathing difficulties such as wheezing or chest tightness should be addressed with medical help immediately.
Any unusual swelling, joint pain, or muscle pain should be brought to the attention of a healthcare provide."
Tranexamic Acid,Haemostatic agents,B1,use with caution,use with caution,use with caution,use with caution,"contraindications:
A history of severe allergic reaction or hypersensitivity to tranexamic acid or any ingredient in the medication should be reported to a doctor.
Active blood clotting inside blood vessels (intravascular clotting) or bleeding in the brain covering (subarachnoid hemorrhage) should be disclosed before using the injectable form.
Active blood clots such as cerebral thrombosis, deep vein thrombosis (DVT), or pulmonary embolism require medical attention and must be communicated before taking oral tranexamic acid.
A history of blood clots or conditions that increase the risk of clotting, including clots in the eyes (retinal vein or artery occlusion), should be discussed with a healthcare provider before starting treatment.
Patients using combined hormonal birth control who could become pregnant should inform their doctor due to increased clotting risk.
Conditions like hematuria (blood in urine) and special routes of administration (epidural or intrathecal) are contraindications and require medical guidance before use.
use with caution:
Dizziness or other effects on alertness may occur and caution should be taken when performing activities such as driving or operating machinery.
Use should be very cautious and under close supervision in patients with disseminated intravascular coagulation (a condition causing abnormal blood clotting throughout the body).
Patients with kidney problems should use tranexamic acid carefully, and dose adjustments may be needed; kidney function should be monitored by a healthcare provider.
Use should be cautious in patients with bleeding in the brain covering (subarachnoid hemorrhage) because brain swelling or stroke may develop.
Patients with untreated cardiovascular or cerebrovascular disease should inform their doctor before using tranexamic acid due to risks of blood clots.
Pregnant patients should use tranexamic acid only when clearly needed and under medical supervision, with close monitoring during pregnancy and after delivery.
Tranexamic acid should not be used during labor or delivery unless advised by a doctor, and it should be stopped 5 to 7 days before birth or certain procedures to reduce bleeding risks.
Breastfeeding mothers should discuss with their doctor before using tranexamic acid, to consider the benefits and any potential risks to the baby.
Patients with hereditary angioedema need careful monitoring during treatment and breastfeeding, as attacks may increase and tranexamic acid is not the preferred therapy.
contact your physician if any of these happened:
Any new or worsening symptoms such as swelling, severe headache, confusion, or unusual bleeding should be reported to a healthcare provider immediately.
Immediate allergic reactions such as rash, swelling (angioedema), difficulty breathing, low blood pressure, or anaphylactic shock should be treated as emergencies and reported to a doctor right away.
Delayed serious skin reactions like toxic epidermal necrolysis (TEN) or fixed drug eruptions must be reported to a healthcare provider as soon as they appear.
Any sudden changes in vision, including color changes, vision loss, or retinal vessel blockages, should be reported immediately to a doctor.
Seizures or involuntary muscle jerks (myoclonus), especially after surgery or high doses of tranexamic acid, require urgent medical attention.
Symptoms of blood clots such as swelling, pain in the legs, chest pain, difficulty breathing, or sudden vision problems should prompt immediate contact with a healthcare professional.
Severe headaches, dizziness, confusion, or neurological changes like seizures or stroke symptoms need immediate evaluation by a doctor.
Signs of kidney problems such as reduced urine output, swelling, or unexplained fatigue should be communicated to a healthcare provider.
Breathing difficulties like wheezing or chest tightness require prompt medical attention.
Any severe or unusual skin reactions such as intense itching, rash, or blistering should be reported to a healthcare provider promptly."
